Statistical profiling result from isolate-0x148008000-26156-v8.log, (11192 ticks, 5014 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: *HTMLElementImpl /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLElement-impl.js:17:14
      1    0.0%    0.0%  JS: *HTMLAnchorElementImpl /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/nodes/HTMLAnchorElement-impl.js:8:14
      1    0.0%    0.0%  JS: *<anonymous> /Users/andris/Projects/email-text-tools/node_modules/jsdom/lib/jsdom/living/helpers/strings.js:14:30
      1    0.0%    0.0%  JS: *<anonymous> /Users/andris/Projects/email-text-tools/node_modules/dompurify/dist/purify.cjs.js:62:19
      1    0.0%    0.0%  Builtin: WeakMapLookupHashIndex
      1    0.0%    0.0%  Builtin: WeakMapGet
      1    0.0%    0.0%  Builtin: ToObject
      1    0.0%    0.0%  Builtin: ToBooleanForBaselineJump
      1    0.0%    0.0%  Builtin: StringPrototypeSubstring
      1    0.0%    0.0%  Builtin: StringPrototypeSplit
      1    0.0%    0.0%  Builtin: StringAddConvertRight
      1    0.0%    0.0%  Builtin: SetProperty
      1    0.0%    0.0%  Builtin: RegExpPrototypeTestFast
      1    0.0%    0.0%  Builtin: ReflectGetOwnPropertyDescriptor
      1    0.0%    0.0%  Builtin: ProxyConstructor
      1    0.0%    0.0%  Builtin: LoadSuperIC
      1    0.0%    0.0%  Builtin: LoadIC_FunctionPrototype
      1    0.0%    0.0%  Builtin: LoadGlobalIC_NoFeedback
      1    0.0%    0.0%  Builtin: LoadGlobalICBaseline
      1    0.0%    0.0%  Builtin: KeyedLoadIC
      1    0.0%    0.0%  Builtin: JSEntryTrampoline
      1    0.0%    0.0%  Builtin: InterpreterPushArgsThenConstruct
      1    0.0%    0.0%  Builtin: GetIteratorBaseline
      1    0.0%    0.0%  Builtin: FindOrderedHashSetEntry
      1    0.0%    0.0%  Builtin: ErrorConstructor
      1    0.0%    0.0%  Builtin: CreateGeneratorObject
      1    0.0%    0.0%  Builtin: CreateDataProperty
      1    0.0%    0.0%  Builtin: CopyDataProperties
      1    0.0%    0.0%  Builtin: CompileLazy
      1    0.0%    0.0%  Builtin: CloneObjectIC
      1    0.0%    0.0%  Builtin: Call_ReceiverIsNullOrUndefined
      1    0.0%    0.0%  Builtin: ArrayPrototypeValues
      1    0.0%    0.0%  Builtin: ArrayPrototypeSlice
      1    0.0%    0.0%  Builtin: ArrayPrototypePush
      1    0.0%    0.0%  Builtin: ArrayPrototypePop
      1    0.0%    0.0%  Builtin: ArrayConstructor

 [C++]:
   ticks  total  nonlib   name

 [Summary]:
   ticks  total  nonlib   name
   6178   55.2%   55.2%  JavaScript
      0    0.0%    0.0%  C++
   2514   22.5%   22.5%  GC
      0    0.0%          Shared libraries
   5014   44.8%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
